date,tri,tri_wealth_from_development_anchor
2021-06-09,20400.55,20632667.50948167
2021-06-10,20596.64,20830988.621997472
2021-06-11,20672.33,20907539.823008854
2021-06-14,20660.97,20896050.568900127
2021-06-15,20742.75,20978761.061946902
2021-06-16,20595.05,20829380.530973453
2021-06-17,20470.4,20703312.26295828
2021-06-18,20411.66,20643903.91908976
2021-06-21,20518.07,20751524.65233881
2021-06-22,20571.44,20805501.896333754
2021-06-23,20468.1,20700986.093552466
2021-06-24,20537.58,20771256.637168143
2021-06-25,20646.1,20881011.378002528
2021-06-28,20636.45,20871251.58027813
2021-06-29,20564.62,20798604.29835651
2021-06-30,20552.2,20786042.983565107
2021-07-01,20524.09,20757613.147914033
2021-07-02,20585.64,20819863.46396966
2021-07-05,20726.43,20962255.37294564
2021-07-06,20709.59,20945223.767383058
2021-07-07,20796.33,21032950.69532238
2021-07-08,20651.57,20886543.61567636
2021-07-09,20645.03,20879929.203539822
2021-07-12,20677.41,20912677.623261694
2021-07-13,20799.35,21036005.05689001
2021-07-14,20849.7,21086927.93931732
2021-07-15,20944.04,21182341.340075854
2021-07-16,20977.88,21216566.371681415
2021-07-19,20791.94,21028510.745891277
2021-07-20,20602.8,20837218.710493047
2021-07-22,20871.08,21108551.201011382
2021-07-23,20900.63,21138437.420986094
2021-07-26,20882.53,21120131.47914033
2021-07-27,20785.77,21022270.543615676
2021-07-28,20742.92,20978932.99620733
2021-07-29,20845.17,21082346.39696586
2021-07-30,20876.6,21114134.007585336
2021-08-02,21060.19,21299812.895069532
2021-08-03,21297.96,21540288.24273072
2021-08-04,21344.42,21587276.86472819
2021-08-05,21365.73,21608829.329962075
2021-08-06,21324.85,21567484.19721871
2021-08-09,21296.21,21538518.331226297
2021-08-10,21232.02,21473597.977243993
2021-08-11,21208.2,21449506.95322377
2021-08-12,21355.83,21598816.687737044
2021-08-13,21498.96,21743575.221238937
2021-08-16,21507.33,21752040.455120105
2021-08-17,21573.22,21818680.1517067
2021-08-18,21547.14,21792303.413400758
2021-08-20,21315.55,21558078.381795198
2021-08-23,21296.0,21538305.941845763
2021-08-24,21499.0,21743615.67635904
2021-08-25,21545.48,21790624.52591656
2021-08-26,21566.38,21811762.326169405
2021-08-27,21697.34,21944212.38938053
2021-08-30,22011.32,22261764.85461441
2021-08-31,22253.61,22506811.63084703
2021-09-01,22246.76,22499883.691529706
2021-09-02,22452.0,22707458.912768647
2021-09-03,22566.65,22823413.400758535
2021-09-06,22637.89,22895463.96965866
2021-09-07,22604.92,22862118.836915296
2021-09-08,22641.43,22899044.24778761
2021-09-09,22691.66,22949845.764854614
2021-09-13,22716.99,22975463.96965866
2021-09-14,22797.33,23056718.0783818
2021-09-15,22975.2,23236611.88369153
2021-09-16,23106.08,23368981.036662456
2021-09-17,22987.76,23249314.791403282
2021-09-20,22681.84,22939914.032869786
2021-09-21,22865.1,23125259.16561315
2021-09-22,22932.93,23193860.935524654
2021-09-23,23261.84,23526513.274336282
2021-09-24,23241.27,23505709.228824273
2021-09-27,23236.8,23501188.36915297
2021-09-28,23094.75,23357522.123893805
2021-09-29,23081.51,23344131.479140326
2021-09-30,23029.08,23291104.930467766
2021-10-01,22969.86,23231211.125158027
2021-10-04,23225.63,23489891.27686473
2021-10-05,23377.08,23643064.475347664
2021-10-06,23154.34,23417790.139064476
2021-10-07,23392.45,23658609.35524652
2021-10-08,23507.21,23774675.09481669
2021-10-11,23603.3,23871858.407079645
2021-10-12,23685.8,23955297.092288245
2021-10-13,23914.47,24186568.900126424
2021-10-14,24126.87,24401385.587863464
2021-10-18,24305.72,24582270.543615676
2021-10-19,24109.39,24383706.700379267
2021-10-20,23820.0,24091024.02022756
2021-10-21,23698.38,23968020.22756005
2021-10-22,23563.8,23831908.97597977
2021-10-25,23463.94,23730912.768647283
2021-10-26,23731.73,24001749.683944374
2021-10-27,23708.68,23978437.420986094
2021-10-28,23259.72,23524369.15297092
2021-10-29,23100.97,23363812.895069532
2021-11-01,23431.96,23698568.900126424
2021-11-02,23452.89,23719737.041719344
2021-11-03,23404.31,23670604.29835651
2021-11-04,23548.48,23816414.664981037
2021-11-08,23768.47,24038907.71175727
2021-11-09,23803.67,24074508.217446268
2021-11-10,23772.02,24042498.103666246
2021-11-11,23608.35,23876965.865992416
2021-11-12,23865.63,24137173.198482934
2021-11-15,23886.54,24158321.112515803
2021-11-16,23783.6,24054209.860935524
2021-11-17,23677.24,23946639.6965866
2021-11-18,23443.76,23710503.160556253
2021-11-22,22948.81,23209921.618204802
2021-11-23,23150.31,23413714.285714287
2021-11-24,23057.77,23320121.365360305
2021-11-25,23217.37,23481537.294563845
2021-11-26,22537.92,22794356.510745887
2021-11-29,22460.1,22715651.07458913
2021-11-30,22447.74,22703150.44247788
2021-12-01,22656.71,22914498.103666246
2021-12-02,22946.71,23207797.724399496
2021-12-03,22766.46,23025496.839443743
2021-12-06,22401.81,22656697.850821745
2021-12-07,22733.04,22991696.586599242
2021-12-08,23098.91,23361729.456384324
2021-12-09,23180.65,23444399.494310997
2021-12-10,23224.15,23488394.437420987
2021-12-13,23085.13,23347792.66750948
2021-12-14,23052.95,23315246.523388118
2021-12-15,22914.8,23175524.65233881
2021-12-16,22889.27,23149704.171934262
2021-12-17,22489.29,22745173.198482934
2021-12-20,21918.48,22167868.52085967
2021-12-21,22164.77,22416960.8091024
2021-12-22,22442.93,22698285.714285713
2021-12-23,22614.17,22871474.083438683
2021-12-24,22481.33,22737122.62958281
2021-12-27,22577.6,22834487.98988622
2021-12-28,22792.66,23051994.94310999
2021-12-29,22785.85,23045107.458912767
2021-12-30,22754.58,23013481.668773707
2021-12-31,22990.88,23252470.290771175
2022-01-03,23310.38,23575605.562579013
2022-01-04,23485.37,23752586.599241465
2022-01-05,23604.46,23873031.60556258
2022-01-06,23441.51,23708227.560050566
2022-01-07,23531.13,23798867.256637167
2022-01-10,23756.45,24026750.948166877
2022-01-11,23810.11,24081021.491782553
2022-01-12,24020.69,24293997.471554995
2022-01-13,24102.2,24376434.89254109
2022-01-14,24116.52,24390917.825537294
2022-01-17,24194.84,24470128.95069532
2022-01-18,23875.7,24147357.774968393
2022-01-19,23722.89,23992809.102402024
2022-01-20,23554.44,23822442.477876104
2022-01-21,23278.25,23543109.987357777
2022-01-24,22560.17,22816859.671302147
2022-01-25,22744.48,23003266.75094817
2022-01-27,22510.82,22766948.16687737
2022-01-28,22577.57,22834457.648546144
